experiment_index,C_true,optimizer,run_time_seconds,best_start_index,nfev_best,success,symbolic_loss_at_recovered_x,exact_loss_at_recovered_x,exact_loss_at_true_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat_symbolic,Vs_hat_symbolic,sigma_hat_symbolic,Vp_hat_exact,Vs_hat_exact,sigma_hat_exact,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,symbolic_least_squares,3.390933327998937,2,11,True,23.42864661167366,170.58121531890106,7.241233230831627,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1329.3619793176006,119.07420711830166,0.2967450263485225,1462.6489535464373,73.55426483098552,0.28393556184762003,41.0,41.838772483998625,10.0,2.2629571153113694e-15,90.0,95.49205053698486,0.5,0.5638050110666737,2.7,2.8559570772444745,0.8387724839986248,0.8387724839986248,-9.999999999999998,9.999999999999998,5.492050536984863,5.492050536984863,12.761002213334738,12.761002213334738,5.776188046091639,5.776188046091639
1,20.0,symbolic_least_squares,25.400802865002333,2,59,True,1.7023353393597063e-08,147.627321634755,8.793601699780483,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.7836795414214,95.82950426695344,0.31445208869457214,1230.623367361198,79.0766127226354,0.2724437731961257,41.0,42.8995335227896,20.0,8.779928413001837,90.0,82.40157654435743,0.5,0.49032331670525964,2.7,2.6395388483869406,1.8995335227896035,1.8995335227896035,-11.220071586998163,11.220071586998163,-7.598423455642575,7.598423455642575,-1.9353366589480725,1.9353366589480725,-2.2393019115947976,2.2393019115947976
2,30.0,symbolic_least_squares,18.519503428000462,4,54,True,5.042316786330048e-09,82.17234022063934,7.570205179970362,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.472026139198,90.89107309325912,0.3349327978301367,1008.4288470317564,54.6864754095024,0.29977971168411155,41.0,43.14482380823936,30.0,20.51999788730468,90.0,84.92642436294375,0.5,0.5171428598121255,2.7,2.804932264982221,2.1448238082393587,2.1448238082393587,-9.48000211269532,9.48000211269532,-5.073575637056251,5.073575637056251,3.4285719624250977,3.4285719624250977,3.8863801845266983,3.8863801845266983
3,40.0,symbolic_least_squares,64.172990725001,3,58,True,3.957909555651895e-09,55.17631871013445,26.685136711125928,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.1125973171527,86.96948306361047,0.3454400384889134,861.5551791849308,70.85718911758754,0.33334172524681727,41.0,43.37120038168138,40.0,29.179733364491717,90.0,94.45392697223566,0.5,0.6101193207934679,2.7,2.5716463483288563,2.3712003816813834,2.3712003816813834,-10.820266635508283,10.820266635508283,4.453926972235664,4.453926972235664,22.023864158693574,22.023864158693574,-4.7538389507831065,4.7538389507831065
4,50.0,symbolic_least_squares,20.348148209999636,4,86,True,3.398715975322375e-09,105.3574681090155,11.654733337750388,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841064170917,82.20584198857306,0.368293131208863,700.8444788042937,41.10988607428242,0.3559418928074723,41.0,43.6919004417337,50.0,40.70521858154283,90.0,95.10351742439371,0.5,0.6298371870631652,2.7,2.850278103816167,2.6919004417337007,2.6919004417337007,-9.29478141845717,9.29478141845717,5.103517424393715,5.103517424393715,25.967437412633032,25.967437412633032,5.5658556968950705,5.5658556968950705
5,60.0,symbolic_least_squares,29.699255827999878,3,90,True,6.314785139238666e-08,94.90452276222642,21.55354750730697,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4188947449026,78.23760131875925,0.3957954342782947,585.5941765116189,59.5669962872653,0.3689152471510016,41.0,44.01118418101182,60.0,50.98865120721568,90.0,90.75825546416672,0.5,0.5982486619514992,2.7,2.54309061331699,3.0111841810118207,3.0111841810118207,-9.011348792784318,9.011348792784318,0.758255464166723,0.758255464166723,19.649732390299835,19.649732390299835,-5.811458766037416,5.811458766037416
6,70.0,symbolic_least_squares,43.063755385999684,2,174,True,4.441309542357885e-09,115.479412159466,9.109419362962832,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482949940939,73.60742151877346,0.4257791713390297,529.8826093130505,49.01802520974943,0.3669888237645554,41.0,44.403067379305504,70.0,55.75316962182727,90.0,80.00246989316614,0.5,0.49162327135306844,2.7,2.6147495953178703,3.4030673793055044,3.4030673793055044,-14.246830378172731,14.246830378172731,-9.997530106833864,9.997530106833864,-1.6753457293863128,1.6753457293863128,-3.157422395634439,3.157422395634439
7,80.0,symbolic_least_squares,57.93410436599879,4,145,True,7.726576871647239e-07,121.89163758499471,8.04197546893024,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.8273024245661,69.77399152866622,0.4561161771217815,450.01683372908855,31.5226789960275,0.40473991900949247,41.0,44.796700503111246,80.0,62.999387848445174,90.0,85.09307190153747,0.5,0.5264957305086108,2.7,2.8195384106041805,3.7967005031112464,3.7967005031112464,-17.000612151554826,17.000612151554826,-4.906928098462529,4.906928098462529,5.299146101722152,5.299146101722152,4.427348540895569,4.427348540895569
8,90.0,symbolic_least_squares,43.78779363399735,3,113,True,4.061958346568417e-06,114.56947404444325,4.824845923925038,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.5767790178678,65.40961948555785,0.48178211931663045,383.7776033713404,31.156207221849886,0.42002760977729986,41.0,45.294973439810605,90.0,69.73809749612265,90.0,83.89185699554545,0.5,0.5207704287343824,2.7,2.7435515545598914,4.2949734398106045,4.2949734398106045,-20.26190250387735,20.26190250387735,-6.108143004454547,6.108143004454547,4.154085746876479,4.154085746876479,1.6130205392552308,1.6130205392552308
9,100.0,symbolic_least_squares,49.4570461459989,4,140,True,2.7963223647731184e-07,92.2429796410441,2.7196157841089157,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.7955403641695,60.46627092770721,0.5035537789526665,333.9365504654911,39.96902809747012,0.4415493188615306,41.0,45.88848140334575,100.0,74.36472748082289,90.0,85.95608859144464,0.5,0.5406145353072465,2.7,2.5023485741322986,4.88848140334575,4.88848140334575,-25.635272519177107,25.635272519177107,-4.04391140855536,4.04391140855536,8.122907061449292,8.122907061449292,-7.320423180285243,7.320423180285243
