experiment_index,C_true,optimizer,run_time_seconds,loss_at_true_x,loss_at_recovered_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat,Vs_hat,sigma_hat,Vp_residual,Vs_residual,sigma_residual,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,pso_giulio,6.435390077000193,7.241233230831627,4.113562823704342e-10,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.1314325093113,101.41501369827544,0.29674502634882904,3.7971403799019754e-11,-3.636557721620193e-11,2.9676261448230434e-13,41.0,40.97725694738485,10.0,9.878873832348496,90.0,90.55345168483278,0.5,0.49881509924893386,2.7,2.702832613066934,-0.022743052615147974,0.022743052615147974,-0.12112616765150364,0.12112616765150364,0.5534516848327797,0.5534516848327797,-0.2369801502132285,0.2369801502132285,0.10491159507162337,0.10491159507162337
1,20.0,pso_giulio,5.79663499399976,8.793601699780483,5.271090230962727e-10,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.7836795401,95.82950427296223,0.31445208870377706,2.7466739993542433e-10,7.16084969099029e-11,-1.7880141811588146e-13,41.0,40.97624765732152,20.0,20.558148629002027,90.0,90.28001366032638,0.5,0.5031567634851066,2.7,2.698940403709067,-0.02375234267847759,0.02375234267847759,0.5581486290020266,0.5581486290020266,0.2800136603263752,0.2800136603263752,0.6313526970213257,0.6313526970213257,-0.03924430707160066,0.03924430707160066
2,30.0,pso_giulio,6.874191437999798,7.570205179970362,5.126388202825183e-10,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720261404717,90.89107308932084,0.334932797829752,1.709850039333105e-10,-1.0984990694851149e-11,-3.709255125272648e-13,41.0,39.24894885322937,30.0,38.69566127411688,90.0,90.07391718180581,0.5,0.49274929183706806,2.7,2.899949520344005,-1.751051146770628,1.751051146770628,8.69566127411688,8.69566127411688,0.07391718180581108,0.07391718180581108,-1.450141632586388,1.450141632586388,7.4055377905187,7.4055377905187
3,40.0,pso_giulio,5.588143199999649,26.685136711125928,8.019096497946521e-10,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.1125973172356,86.96948306090674,0.3454400384896222,-6.212985681486316e-10,-1.1226575225009583e-10,-8.154588115871775e-14,41.0,41.08529726929017,40.0,38.16792997075608,90.0,90.76231612144952,0.5,0.5224821056735212,2.7,2.6888879037958895,0.085297269290173,0.085297269290173,-1.8320700292439227,1.8320700292439227,0.7623161214495155,0.7623161214495155,4.4964211347042315,4.4964211347042315,-0.4115591186707662,0.4115591186707662
4,50.0,pso_giulio,4.471565190999172,11.654733337750388,9.40644895308651e-10,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841064176778,82.20584198867861,0.36829313121154533,-1.1596057447604835e-11,4.504983053266187e-10,-6.49147402498329e-13,41.0,40.93126592749477,50.0,50.743681911549075,90.0,89.67428331525971,0.5,0.5151937749526454,2.7,2.705438996126527,-0.06873407250522945,0.06873407250522945,0.7436819115490749,0.7436819115490749,-0.3257166847402857,0.3257166847402857,3.03875499052908,3.03875499052908,0.2014443009824768,0.2014443009824768
5,60.0,pso_giulio,4.439457863999451,21.55354750730697,9.942873191448598e-10,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4188947417504,78.23760133586586,0.3957954343441981,8.684537533554249e-10,-3.852562713291263e-11,1.3677947663381929e-13,41.0,40.74193492106203,60.0,63.3744151932493,90.0,90.50978388793646,0.5,0.5232875034548814,2.7,2.718373919705242,-0.2580650789379675,0.2580650789379675,3.3744151932492983,3.3744151932492983,0.5097838879364645,0.5097838879364645,4.6575006909762795,4.6575006909762795,0.680515544638582,0.680515544638582
6,70.0,pso_giulio,3.9165746979997493,9.109419362962832,8.801706030681089e-10,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482949938368,73.60742152023576,0.4257791713330251,1.1448264558566734e-10,-3.0453861654677894e-11,-1.332933763364963e-12,41.0,40.9548229627405,70.0,69.12586337622564,90.0,91.55873571172717,0.5,0.5142090990337351,2.7,2.71323459845763,-0.045177037259499286,0.045177037259499286,-0.874136623774362,0.874136623774362,1.5587357117271665,1.5587357117271665,2.8418198067470257,2.8418198067470257,0.4901703132455505,0.4901703132455505
7,80.0,pso_giulio,3.38519027700022,8.04197546893024,9.47972367271177e-10,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.82730238336194,69.77399171162486,0.4561161782634597,3.349214239278808e-10,6.11052541898971e-10,4.107825191113079e-15,41.0,40.88960569671818,80.0,79.86486375473912,90.0,91.02061234662388,0.5,0.501428362829199,2.7,2.7166622768154363,-0.1103943032818222,0.1103943032818222,-0.13513624526088108,0.13513624526088108,1.020612346623878,1.020612346623878,0.2856725658398007,0.2856725658398007,0.6171213635346697,0.6171213635346697
8,90.0,pso_giulio,3.268985638000231,4.824845923925038,8.539249307659702e-10,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.57677899022923,65.4096196406281,0.48178212831893025,1.2016698747174814e-10,-2.745252913882723e-10,-1.0659251259426128e-12,41.0,40.81895464403146,90.0,91.52808359509716,90.0,91.38311801986063,0.5,0.5098358323485176,2.7,2.7177870239485227,-0.18104535596854276,0.18104535596854276,1.5280835950971579,1.5280835950971579,1.3831180198606319,1.3831180198606319,1.9671664697035185,1.9671664697035185,0.6587786647600924,0.6587786647600924
9,100.0,pso_giulio,3.4354212959997312,2.7196157841089157,7.96252841439582e-10,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.7955403431823,60.46627101583572,0.50355377938626,1.573994268255774e-10,3.247180302423658e-11,1.5375478668033793e-12,41.0,41.478869644681154,100.0,96.7245884196071,90.0,92.69169812276851,0.5,0.5256558692123228,2.7,2.6639911716822464,0.4788696446811542,0.4788696446811542,-3.2754115803928983,3.2754115803928983,2.691698122768514,2.691698122768514,5.131173842464554,5.131173842464554,-1.333660308064954,1.333660308064954
