iteration,loss_best,loss_mean,loss_min_current,sigma
0,243.92448003078783,5161.206869380229,243.92448003078783,0.27025938042599773
1,234.620902636979,inf,234.620902636979,0.2624844288973265
2,217.56757122174753,3149.0925778001406,217.56757122174753,0.30069089749150735
3,217.56757122174753,1883.3000802546792,220.1982539802902,0.34993311625262
4,217.56757122174753,1503.2128691154885,239.0722497994118,0.33298448365596617
5,217.56757122174753,1334.80784890515,218.54839538957603,0.32168579825124693
6,206.4845798224253,992.1074637838242,206.4845798224253,0.2770832179079414
7,158.06892363878643,685.2529863750854,158.06892363878643,0.24643314196441657
8,45.94502430478241,505.360877334723,45.94502430478241,0.22413999683278826
9,45.94502430478241,370.06061713167736,54.195908215566476,0.23328204929399007
10,45.94502430478241,322.4333790763839,59.124851324830594,0.2298691797606053
11,42.34401934408652,277.5509751412383,42.34401934408652,0.2504090273861837
12,40.468814062987676,272.7114065448875,40.468814062987676,0.2307841818956073
13,19.019846842254402,170.61127716963335,19.019846842254402,0.21327648245433295
14,9.415846839763919,171.0261918908356,9.415846839763919,0.21306560625484872
15,9.415846839763919,114.41603539495846,20.97427224905744,0.22896273469440592
16,9.415846839763919,94.82514528310135,20.571929003734816,0.21724285041698396
17,9.415846839763919,81.97899706382361,17.188250718447,0.2099289616451947
18,9.415846839763919,60.58192464300825,13.765799646769278,0.19926298286421493
19,7.784941236660888,49.42043566253521,7.784941236660888,0.18598138635538497
20,7.784941236660888,39.63639284781854,11.214263239108709,0.1760007195707339
21,6.332780340743726,73.79342718880312,6.332780340743726,0.16601932519210522
22,6.332780340743726,22.10000874580008,6.433419283787396,0.1468156241976509
23,3.214971522552233,15.72787271790538,3.214971522552233,0.12690757670385072
24,1.8300091142108954,11.734219013487323,1.8300091142108954,0.12410366883445131
25,1.8300091142108954,10.435776404504232,2.1800333973398978,0.10400263738551342
26,1.776495111122541,7.150105862607265,1.776495111122541,0.10336839183259744
27,1.0221209164756129,5.839323007368081,1.0221209164756129,0.10131676374746917
28,0.8817109982200879,4.783731106140388,0.8817109982200879,0.09315163899813214
29,0.3333770380837109,3.8486309668594965,0.3333770380837109,0.08832954362620146
30,0.3333770380837109,2.787386756739331,0.6505507478358901,0.07888956120487985
31,0.17417086954410266,1.984303312805234,0.17417086954410266,0.07958505034768482
32,0.17417086954410266,1.7153205976518726,0.43535916986672873,0.07217835418657387
33,0.17417086954410266,1.2867894702937233,0.3065661426945212,0.06737844164451205
34,0.17417086954410266,1.001161690268129,0.18411038577088767,0.05536994715302021
35,0.15094197701749934,0.7470591828723784,0.15094197701749934,0.05961639575699006
36,0.12604450942796142,0.6761819755070229,0.12604450942796142,0.05292620910504845
37,0.12604450942796142,0.5013863667683225,0.16791293431095156,0.048192802343881624
38,0.07166299653446906,0.3476468138978238,0.07166299653446906,0.04663757922446374
39,0.07166299653446906,0.26971409279636377,0.08400638476776656,0.047013466478916924
40,0.07166299653446906,0.26150624167623865,0.08196366610354922,0.04631592851782276
41,0.041318121174535705,0.18799031894550638,0.041318121174535705,0.03916824015610162
42,0.010779902437089817,0.13443785680613676,0.010779902437089817,0.0379617374216442
43,0.010779902437089817,0.12113705067631507,0.030705947568812064,0.036060064113747584
44,0.010779902437089817,0.0994910807986366,0.014716493857047652,0.03567539699556427
45,0.010779902437089817,0.0892536505522175,0.021994074340447867,0.03320982180247019
46,0.0106234233332696,0.06225074802381002,0.0106234233332696,0.03465233296465257
47,0.0106234233332696,0.055446378034413574,0.011513282114863799,0.031873598773966075
48,0.0106234233332696,0.044832996230229336,0.012796541905998993,0.029184029413357227
49,0.0106234233332696,0.037409642475724106,0.012190039436973166,0.0258812082020246
50,0.006139248464227975,0.0257536676684116,0.006139248464227975,0.02402667948767856
51,0.003994566047889947,0.01924385875697659,0.003994566047889947,0.02132704216190221
52,0.0025006980735344797,0.01298335702593878,0.0025006980735344797,0.020752307032099317
53,0.0024629149572295006,0.010883355231333453,0.0024629149572295006,0.018408583868313646
54,0.0012206142208714965,0.00958294858558343,0.0012206142208714965,0.016735418974598473
55,0.0008955732771642744,0.006822159951948237,0.0008955732771642744,0.016573397102563742
56,0.0008955732771642744,0.005544297270669176,0.0014750845913464872,0.01711835029488879
57,0.0008955732771642744,0.004627654827549641,0.001157259662823762,0.016475569358563508
58,0.0008955732771642744,0.0043882326692994056,0.0018534057635779533,0.014192162512297959
59,0.0005949945603251905,0.0032059538672153565,0.0005949945603251905,0.012437106117875222
60,0.0004907368415558722,0.002355318641215476,0.0004907368415558722,0.01194068931633736
61,0.00041064066860840853,0.0017594058855845062,0.00041064066860840853,0.010985837630855196
62,0.0003416619269227539,0.0014818827593705208,0.0003416619269227539,0.009821912007985245
63,0.0003416619269227539,0.0011802728533920614,0.0004592407580581437,0.009670742919069301
64,5.493536515110975e-05,0.0008472240850401036,5.493536515110975e-05,0.008751880779439603
65,5.493536515110975e-05,0.0007425327699349182,0.0002237811248839705,0.008745782695130218
66,5.493536515110975e-05,0.0006910765463414847,0.00024255293471142636,0.008006024209365402
67,5.493536515110975e-05,0.000478654965614993,9.516674323251095e-05,0.007155132810870397
68,5.493536515110975e-05,0.0003785671926575418,5.996813790787314e-05,0.00674722239214152
69,5.493536515110975e-05,0.00030512026542496074,0.00011991867093996689,0.00599565716970562
70,5.493536515110975e-05,0.0002396408066067579,7.89623490522473e-05,0.005878054317559497
71,4.959155490880107e-05,0.00021315443065240915,4.959155490880107e-05,0.005397416111684753
72,2.201773865451173e-05,0.00015115172271450204,2.201773865451173e-05,0.00491235903323255
73,2.201773865451173e-05,0.00013599873691759966,5.9429153369094934e-05,0.004099850121399772
74,2.201773865451173e-05,9.353478691412676e-05,2.2949536498728662e-05,0.00397715330427227
75,2.201773865451173e-05,7.689350466971945e-05,2.5775830767571506e-05,0.0036135081828665185
76,1.692610965875474e-05,7.23405532459509e-05,1.692610965875474e-05,0.003344876335282275
77,1.439768685962406e-05,6.130865020736564e-05,1.439768685962406e-05,0.0029469404144491606
78,1.439768685962406e-05,5.2495186901850846e-05,1.722430142692133e-05,0.002582540521294399
79,1.439768685962406e-05,4.161851497268998e-05,1.5168785841623844e-05,0.002279633435885625
80,7.3046385491437604e-06,3.7291544209949734e-05,7.3046385491437604e-06,0.0022144787412017356
81,7.3046385491437604e-06,3.306907403665349e-05,7.454414699736844e-06,0.0022454733324344797
82,7.3046385491437604e-06,3.9368727831394776e-05,8.748517542400691e-06,0.001942838585327278
83,3.859425127927807e-06,2.7289979231426288e-05,3.859425127927807e-06,0.0017800828869270972
84,2.8411858323806882e-06,2.8668472634336694e-05,2.8411858323806882e-06,0.001844315178890208
85,2.8411858323806882e-06,2.788240122551855e-05,3.0854614596620422e-06,0.0015812804874263684
86,2.8411858323806882e-06,2.2201102131056416e-05,4.508034985306608e-06,0.0014967121673937845
87,2.8411858323806882e-06,2.3738289076185026e-05,4.867061727864552e-06,0.0013658903321643297
88,2.8411858323806882e-06,2.178886900189525e-05,4.69955975823666e-06,0.0013240871289559356
89,2.8411858323806882e-06,1.7123187730057054e-05,3.001942731728491e-06,0.0015655466590179044
90,2.8411858323806882e-06,1.998218321151768e-05,4.6762346137541044e-06,0.0015067438666165258
91,2.8411858323806882e-06,2.3123471188384316e-05,3.317145553793921e-06,0.0014115714065818371
92,2.484897683174836e-06,1.828140458584926e-05,2.484897683174836e-06,0.001320566224011312
93,2.484897683174836e-06,1.9482757001334505e-05,5.023348384369797e-06,0.0012531744712162417
94,2.484897683174836e-06,1.91849608856387e-05,4.00572881176231e-06,0.00123000388167486
95,2.484897683174836e-06,1.6973875808261595e-05,5.230312416060201e-06,0.0011593662044704954
96,2.484897683174836e-06,1.5551555287416364e-05,2.744786970154678e-06,0.0010793710622474981
97,1.1798589341083243e-06,1.6277780931091e-05,1.1798589341083243e-06,0.000994777618096701
98,1.1798589341083243e-06,1.5137880386184577e-05,2.3393124877202354e-06,0.0007919512152941533
99,1.1798589341083243e-06,1.0976234093931225e-05,2.4263074429597964e-06,0.000658992888062206
100,1.1798589341083243e-06,9.190736135309407e-06,2.2382341491322677e-06,0.0006190549220593525
101,9.441892974138e-07,7.513809968635599e-06,9.441892974138e-07,0.0006174947657273366
102,9.441892974138e-07,9.403134601733144e-06,1.4149444833577718e-06,0.0005298112732844632
103,1.9432445341749371e-07,7.073388568450411e-06,1.9432445341749371e-07,0.00042918661535657014
104,1.9432445341749371e-07,6.068051237448913e-06,1.0242792214398833e-06,0.0004146659632090216
105,1.9432445341749371e-07,6.1029710256477186e-06,5.549236323787454e-07,0.0003614664199146835
106,1.9432445341749371e-07,5.141062094402571e-06,8.992281017583537e-07,0.00035019919477255603
107,1.9432445341749371e-07,4.42534456709609e-06,6.273857007244033e-07,0.0003395260361378745
108,1.9432445341749371e-07,4.575598866374264e-06,8.752534874645335e-07,0.00036935505833945407
109,1.9432445341749371e-07,4.477637381512523e-06,1.2870787902130587e-06,0.0003258762482259259
110,1.9432445341749371e-07,4.425958107994176e-06,4.881997508476843e-07,0.00030741924487234415
111,1.9432445341749371e-07,3.943415754470437e-06,6.975634416761523e-07,0.00026680833016308014
112,1.9432445341749371e-07,3.830965818885091e-06,1.0172824875809283e-06,0.0002471337353697576
113,1.9432445341749371e-07,3.7650423277924005e-06,5.704330625633247e-07,0.00021161844231038724
114,1.9432445341749371e-07,2.5496493848464753e-06,4.070894785712653e-07,0.0001926096418959447
115,1.9432445341749371e-07,2.827021056255319e-06,7.835992175131423e-07,0.00017275751925480183
116,1.9432445341749371e-07,2.487015560781458e-06,5.636999240721252e-07,0.00019957155502627234
117,1.9432445341749371e-07,2.8329308165453427e-06,3.784057529543361e-07,0.00019414860177788268
118,1.9432445341749371e-07,2.9443057433198304e-06,4.5370685164414226e-07,0.00020920281807386136
119,1.9432445341749371e-07,3.1067525192796097e-06,4.806038074178787e-07,0.00022841037902017754
120,1.9432445341749371e-07,3.179702101299142e-06,6.180025113877718e-07,0.00020358757024747075
121,1.9432445341749371e-07,3.6898109565086655e-06,9.953834148035412e-07,0.0001722857857443584
122,1.9432445341749371e-07,2.425293694656716e-06,4.113157956453506e-07,0.0001561699437010708
123,1.9432445341749371e-07,2.391247472566249e-06,3.9383608552157057e-07,0.00015050650047188077
124,1.9432445341749371e-07,2.072295106074762e-06,3.815139422158609e-07,0.0001372520308177025
125,1.9432445341749371e-07,2.136012573501489e-06,6.526389189076554e-07,0.00012931431789184615
126,1.9432445341749371e-07,1.7672891982911665e-06,3.880949073220563e-07,0.00013674857430979418
127,1.9432445341749371e-07,2.3346772141508155e-06,9.457984599947622e-07,0.00013885428189996368
