iteration,loss_best,loss_mean,loss_min_current
0,144.1711220571742,3944.5570442242642,144.1711220571742
1,144.1711220571742,1591.5957184930191,147.63422722296414
2,144.1711220571742,1001.1771297927685,186.26353619131282
3,144.1711220571742,1010.0125282858938,184.7599760807393
4,101.38803837782464,inf,101.38803837782464
5,101.38803837782464,754.7683462178002,110.08026508837254
6,41.97314723183158,686.323177519409,41.97314723183158
7,41.97314723183158,inf,70.82302224072873
8,26.872458138558436,573.1732008353072,26.872458138558436
9,19.379687186998154,546.0490434875702,19.379687186998154
10,10.386611955907455,494.7093749254669,10.386611955907455
11,10.386611955907455,465.481452108643,25.607061427303805
12,10.386611955907455,387.9333429778741,21.506658994418977
13,10.386611955907455,346.69876967700907,15.788698542155505
14,10.386611955907455,333.786475174646,23.98376293387405
15,8.279815435789121,297.6963429380485,8.279815435789121
16,8.279815435789121,318.8032616025135,8.720373714899646
17,8.279815435789121,279.5477050800677,10.372714804895654
18,8.279815435789121,229.13550532360398,9.350360482857026
19,8.279815435789121,189.462170086879,8.64513964302873
20,6.095928543776761,215.48734670216484,6.095928543776761
21,6.095928543776761,181.16030426803073,8.63674971243484
22,6.095928543776761,159.53953678051076,6.168249506290039
23,6.095928543776761,147.43088542081887,7.179932340574023
24,4.1719300576833245,126.84718068950518,4.1719300576833245
25,4.1719300576833245,133.26818861032632,7.122624266221765
26,4.1719300576833245,inf,5.310535622834154
27,4.080953444987207,101.25325341400362,4.080953444987207
28,4.0486139640466,91.62607083846186,4.0486139640466
29,2.891741184972007,86.90113245087656,2.891741184972007
30,2.891741184972007,90.8002545902775,2.961268803587595
31,2.469772634821469,71.89444899408807,2.469772634821469
32,0.7071375701847451,65.28838745677946,0.7071375701847451
33,0.7071375701847451,61.551493637655334,1.4363072177984684
34,0.7071375701847451,58.5522008045322,0.9212993721071605
35,0.7071375701847451,56.940608313800425,1.1301782326113017
36,0.7071375701847451,43.153888983130834,0.8250013905881115
37,0.7071375701847451,46.00806164224904,0.7923661256132917
38,0.5202124404565769,39.64285553163545,0.5202124404565769
39,0.5133530114011879,42.621526696063796,0.5133530114011879
40,0.5133530114011879,39.287243013598,0.5888095131225288
41,0.5133530114011879,34.40739591319102,0.7181447827822574
42,0.26438442625928715,33.657316020286395,0.26438442625928715
43,0.26438442625928715,30.97612615092534,0.4648346825779832
44,0.26438442625928715,34.01862705490013,0.34659493861360424
45,0.26438442625928715,25.16454793644287,0.3130569979489497
46,0.24906447061620796,25.814026060690164,0.24906447061620796
47,0.1577206209570523,21.247138525083784,0.1577206209570523
48,0.1577206209570523,23.572992139056364,0.4063440671053762
49,0.1577206209570523,20.217980757051524,0.49273088038968993
50,0.13076671126382422,20.377624049988995,0.13076671126382422
51,0.13076671126382422,19.824901163097337,0.2417160784804402
52,0.13076671126382422,17.0729837514837,0.16208541996610748
53,0.13076671126382422,16.393151653061548,0.16599221728955804
54,0.07599774645602331,13.950648338220555,0.07599774645602331
55,0.07599774645602331,15.057379119033056,0.09247512776431499
56,0.07599774645602331,12.737076888835897,0.1519765696724793
57,0.07599774645602331,14.815350906366183,0.07884442598736996
58,0.07599774645602331,12.395824701726516,0.15978206745313628
59,0.05125685596859064,13.516788800325546,0.05125685596859064
60,0.05125685596859064,12.317876360952507,0.05825047417392781
61,0.05125685596859064,12.915598361019496,0.07206380237643728
62,0.04570402408636376,13.488094795684777,0.04570402408636376
63,0.04570402408636376,10.876074041353073,0.052631314753528
64,0.04570402408636376,12.250115508444553,0.06746111921903086
65,0.04570402408636376,12.394189826772703,0.08506389742047915
66,0.04499906635729367,8.69783447421286,0.04499906635729367
67,0.011104200111104134,10.737802898193731,0.011104200111104134
68,0.011104200111104134,12.21182571335603,0.06495465221040142
69,0.011104200111104134,9.439552465706283,0.055941287763998204
70,0.011104200111104134,8.873499875578272,0.02077539419641994
71,0.011104200111104134,7.664033716488104,0.03247482515058131
72,0.011104200111104134,7.473899482299375,0.020201703004248728
73,0.011104200111104134,6.05638618331362,0.04395173390745377
74,0.011104200111104134,7.203608881047106,0.02013685711955837
