idx,C_true,Vp_true,Vs_true,sigma_true,eps_vp,eps_vs,eps_sigma,Vp_obs,Vs_obs,sigma_obs
0,10.0,1332.0414118977117,101.3839025457343,0.2931607850770407,0.0023197631724974337,0.0003068648157774928,0.012226196182922896,1335.1314325092733,101.41501369831181,0.2967450263485323
1,20.0,1156.5405464105863,95.6093871411939,0.31364668435163595,-0.006706956271299956,0.0023022543944523984,0.0025678714059573582,1148.7836795398252,95.82950427289062,0.31445208870395586
2,30.0,1004.729927807081,90.67544056827474,0.33482438743281717,-0.007223733926808996,0.0023780697364764866,0.0003237828586412057,997.4720261403007,90.89107308933183,0.3349327978301229
3,40.0,873.2864232855345,86.24393132561008,0.3566938943205844,0.019267646425806015,0.008412785969480542,-0.031550458278285266,890.1125973178569,86.969483061019,0.3454400384897037
4,50.0,759.3851662771766,82.10032316402089,0.3792552050149377,-0.004873758434907764,0.0012852424952874788,-0.028904214517797976,755.6841064176893,82.20584198822812,0.3682931312121945
5,60.0,660.6131560001819,78.09201474558877,0.40250831951587684,-0.026027730606223796,0.0018642954825779916,-0.016677630862113765,643.4188947408819,78.23760133590439,0.39579543434406134
6,70.0,574.9002754301486,74.0975880346704,0.426453237823402,0.014346870085255108,-0.006615148041996068,-0.0015806340045261696,583.1482949937223,73.60742152026621,0.42577917133435805
7,80.0,500.4629631082263,70.00874465601925,0.4510899599375133,0.01071875377447393,-0.003353194606743351,0.011142385715342784,505.827302383027,69.7739917110138,0.4561161782634556
8,90.0,435.7574251833393,65.71702482791503,0.4764184858582104,-0.005004266289467718,-0.004677710042677246,0.011258258487018575,433.57677899010906,65.40961964090262,0.4817821283199962
9,100.0,379.4401467692086,61.10059186730224,0.5024388155854934,-0.00433429735937772,-0.01038158276562374,0.0022191036294235637,377.7955403430249,60.46627101580325,0.5035537793847225
