Complexity,Loss,Equation
1,837.51,"49.879547"
3,836.0674,"sigma + 49.817303"
4,797.8404,"log(sigma) + 53.95755"
5,507.81714,"square(log(sigma) + 10.334888)"
8,397.02832,"(exp(-0.01961442 / sigma) / 0.04978131) * 4.3189507"
