experiment_index,C_true,optimizer,run_time_seconds,loss_at_true_x,loss_at_recovered_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat,Vs_hat,sigma_hat,Vp_residual,Vs_residual,sigma_residual,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,pso,11.344288067999514,7.241233230831627,1088.5371229626048,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.131432509273,426.32750749879773,0.09085835308491505,-2.2737367544323206e-13,324.9124938004859,-0.20588667326361723,41.0,24.44742405903083,10.0,99.99999999997165,90.0,89.94971430145686,0.5,12.473891970150156,2.7,2.690474409594574,-16.55257594096917,16.55257594096917,89.99999999997165,89.99999999997165,-0.05028569854313503,0.05028569854313503,2394.778394030031,2394.778394030031,-0.3527996446454197,0.3527996446454197
1,20.0,pso,11.513998376000018,8.793601699780483,1038.8679710952242,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.7836795398246,340.46521285585095,0.0899081893882386,-6.821210263296962e-13,244.63570858296032,-0.22454389931571728,41.0,27.06022067747754,20.0,99.9999999999947,90.0,89.94999347929719,0.5,12.473406476459159,2.7,2.6904351243747247,-13.939779322522462,13.939779322522462,79.9999999999947,79.9999999999947,-0.05000652070280864,0.05000652070280864,2394.6812952918317,2394.6812952918317,-0.3542546527879824,0.3542546527879824
2,30.0,pso,11.668041789999734,7.570205179970362,1006.1054961694624,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720261403003,276.67710428820675,0.08937454449842092,-4.547473508864641e-13,185.78603119887492,-0.245558253331702,41.0,29.322019072138062,30.0,99.99999999999206,90.0,89.91651826743617,0.5,12.306411539959749,2.7,2.6808720429364934,-11.677980927861938,11.677980927861938,69.99999999999206,69.99999999999206,-0.08348173256382552,0.08348173256382552,2361.28230799195,2361.28230799195,-0.7084428542039549,0.7084428542039549
3,40.0,pso,11.72192865299985,26.685136711125928,371.6765011216388,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,537.8454882258308,106.37887509063168,0.3454400384897038,-352.2671090920261,19.409392029612675,5.551115123125783e-17,41.0,37.38103957777966,40.0,99.99999999844867,90.0,90.35053228073278,0.5,0.752413448487155,2.7,2.692500430282613,-3.61896042222034,3.61896042222034,59.99999999844867,59.99999999844867,0.35053228073277864,0.35053228073277864,50.48268969743099,50.48268969743099,-0.27776184138471066,0.27776184138471066
4,50.0,pso,11.683162265999272,11.654733337750388,944.8273889134645,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841064176891,178.86140936323665,0.08931006165589075,-2.2737367544323206e-13,96.65556737500853,-0.2789830695563037,41.0,33.24027868333317,50.0,99.99999999996196,90.0,90.56764752616577,0.5,11.858729765785773,2.7,2.7003861195031638,-7.759721316666827,7.759721316666827,49.99999999996196,49.99999999996196,0.5676475261657714,0.5676475261657714,2271.7459531571544,2271.7459531571544,0.014300722339392016,0.014300722339392016
5,60.0,pso,11.687875919999897,21.55354750730697,940.3379159878432,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4188947408824,139.3955068337551,0.08835203991104604,4.547473508864641e-13,61.157905497850706,-0.30744339443301527,41.0,35.28376044158973,60.0,99.99999992856361,90.0,90.13003630011505,0.5,11.885947967100877,2.7,2.7011287538871844,-5.7162395584102725,5.7162395584102725,39.99999992856361,39.99999992856361,0.13003630011505152,0.13003630011505152,2277.1895934201757,2277.1895934201757,0.041805699525342695,0.041805699525342695
6,70.0,pso,11.758290395000586,9.109419362962832,949.8208195034002,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482949937223,119.66989214524472,0.0878254683893608,0.0,46.0624706249785,-0.33795370294499727,41.0,36.45479509921397,70.0,99.9999999654683,90.0,90.13357727332709,0.5,11.95120119563474,2.7,2.7009158475535915,-4.5452049007860325,4.5452049007860325,29.999999965468305,29.999999965468305,0.13357727332709146,0.13357727332709146,2290.240239126948,2290.240239126948,0.03392027976264107,0.03392027976264107
7,80.0,pso,11.828751162999652,8.04197546893024,950.6159733124367,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.82730238302673,95.84103756101946,0.08742853584623425,-2.8421709430404007e-13,26.067045850005655,-0.3686876424172213,41.0,38.05584493789958,80.0,99.99999960636082,90.0,90.1077717948073,0.5,11.89601292421431,2.7,2.701099861098855,-2.944155062100421,2.944155062100421,19.999999606360817,19.999999606360817,0.10777179480730581,0.10777179480730581,2279.202584842862,2279.202584842862,0.040735596253883274,0.040735596253883274
8,90.0,pso,11.925048422000145,4.824845923925038,952.0906463469947,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.5767789901089,75.274358652925,0.08697250890083605,-1.7053025658242404e-13,9.864739012022383,-0.39480961941916015,41.0,39.67876382382808,90.0,99.99999999850777,90.0,90.10430429774347,0.5,11.871299500732695,2.7,2.7011063245994653,-1.3212361761719222,1.3212361761719222,9.999999998507775,9.999999998507775,0.10430429774346806,0.10430429774346806,2274.259900146539,2274.259900146539,0.040974985165375406,0.040974985165375406
9,100.0,pso,11.941506299000139,2.7196157841089157,957.1810640936866,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.79554034302487,60.6034406076739,0.08653270599609324,-5.684341886080802e-14,0.13716959187065214,-0.4170210733886292,41.0,41.04054440048757,100.0,99.99999999950643,90.0,90.10316750081492,0.5,11.87433024235963,2.7,2.7011077431060113,0.04054440048756902,0.04054440048756902,-4.93571405968396e-10,4.93571405968396e-10,0.10316750081491932,0.10316750081491932,2274.8660484719258,2274.8660484719258,0.04102752244485699,0.04102752244485699
