iteration,temperature,loss_current,loss_best
0,1000.0,2442.550397909983,2442.550397909983
1,997.2401605358774,1546.5014804919542,1546.5014804919542
2,994.4879377856224,1180.1292410282338,1180.1292410282338
3,991.7433107283276,2512.8398444085346,1180.1292410282338
4,989.0062584011,1838.715621196067,1180.1292410282338
5,986.2767598989004,1517.9158778056267,1180.1292410282338
6,983.5547943743844,1033.4793694308582,1033.4793694308582
7,980.8403410377429,520.71024423707,520.71024423707
8,978.1333791565435,552.0649605048661,520.71024423707
9,975.4338880555715,539.1956004621471,520.71024423707
10,972.7418471166732,539.1956004621471,520.71024423707
11,970.057235778597,1203.9531929976433,520.71024423707
12,967.3800335368376,1444.8264832494206,520.71024423707
13,964.7102199434783,973.4107575049848,520.71024423707
14,962.0477746070359,1897.6845423909306,520.71024423707
15,959.392677192304,2867.0403039923413,520.71024423707
16,956.7449074201984,3240.821636491322,520.71024423707
17,954.1044450676018,3240.821636491322,520.71024423707
18,951.4712699672093,3240.821636491322,520.71024423707
19,948.8453620073749,2738.2220930749377,520.71024423707
20,946.2267011319572,2186.1888875668637,520.71024423707
21,943.6152673401666,2729.953677356486,520.71024423707
22,941.0110406864126,2729.953677356486,520.71024423707
23,938.4140012801511,2711.7713893084774,520.71024423707
24,935.8241292857329,2387.2623945855185,520.71024423707
25,933.241404922252,2509.015025957362,520.71024423707
26,930.6658084633942,2509.417227861618,520.71024423707
27,928.0973202372872,2581.0629248406544,520.71024423707
28,925.53592062635,2481.0909339991986,520.71024423707
29,922.9815900671423,2591.6131079217803,520.71024423707
30,920.4343090502163,2482.502558090481,520.71024423707
31,917.8940581199671,2357.0819724403827,520.71024423707
32,915.3608178744838,2109.662676757928,520.71024423707
33,912.8345689654022,1972.1871331505424,520.71024423707
34,910.3152920977562,1504.694720494881,520.71024423707
35,907.8029680298305,1739.0202487955105,520.71024423707
36,905.2975775730141,2429.621572834149,520.71024423707
37,902.7991015916534,3726.624652414553,520.71024423707
38,900.3075210029064,3214.090770015776,520.71024423707
39,897.822816776596,3191.723913895035,520.71024423707
40,895.3449699350663,3176.6268547509644,520.71024423707
41,892.8739615530358,2006.4843407028077,520.71024423707
42,890.4097727574541,2040.5992834949307,520.71024423707
43,887.9523847273576,1528.9081582398717,520.71024423707
44,885.5017786937252,1309.034892531297,520.71024423707
45,883.0579359393356,1309.034892531297,520.71024423707
46,880.6208377986235,839.1855569093685,520.71024423707
47,878.190465657538,1341.6715287269376,520.71024423707
48,875.7668009534001,1341.6715287269376,520.71024423707
49,873.3498251747604,977.9660228185094,520.71024423707
50,870.9395198612586,1554.0705851136065,520.71024423707
51,868.5358666034815,1554.0705851136065,520.71024423707
52,866.1388470428232,1835.002885320338,520.71024423707
53,863.7484428713447,805.4708394456665,520.71024423707
54,861.3646358316339,805.4708394456665,520.71024423707
55,858.987407716666,2454.8253920020934,520.71024423707
56,856.6167403696653,1559.3949236266194,520.71024423707
57,854.2526156839649,1741.7041192350446,520.71024423707
58,851.8950156028703,2024.1181748841018,520.71024423707
59,849.5439221195202,1208.8457008364321,520.71024423707
60,847.1993172767492,1964.6535441400606,520.71024423707
61,844.861183166951,1622.9397288645573,520.71024423707
62,842.5295019319416,1067.7451082029493,520.71024423707
63,840.2042557628221,1067.7451082029493,520.71024423707
64,837.8854268998441,788.5950779975394,520.71024423707
65,835.5729976322726,788.5950779975394,520.71024423707
66,833.2669502982518,931.0150696605253,520.71024423707
67,830.9672672846697,931.0150696605253,520.71024423707
68,828.6739310270233,335.3924702373073,335.3924702373073
69,826.3869240092852,603.5914122438403,335.3924702373073
70,824.1062287637694,1427.214683402793,335.3924702373073
71,821.8318278709978,1427.214683402793,335.3924702373073
72,819.5637039595674,1545.343173366333,335.3924702373073
73,817.3018397060173,1380.0545083422485,335.3924702373073
74,815.0462178346966,1514.3003791824667,335.3924702373073
75,812.7968211176325,1389.7867679652124,335.3924702373073
76,810.5536323743986,1250.4703844342212,335.3924702373073
77,808.3166344719838,1250.4703844342212,335.3924702373073
78,806.0858103246612,1083.0360720158776,335.3924702373073
79,803.861142893858,1475.3488220628378,335.3924702373073
80,801.6426151880247,1475.3488220628378,335.3924702373073
81,799.4302102625063,1345.1420448220877,335.3924702373073
82,797.2239112194119,1345.1420448220877,335.3924702373073
83,795.0237012074864,1230.885236820455,335.3924702373073
84,792.8295634219811,1230.885236820455,335.3924702373073
85,790.6414811045261,1185.4182703310762,335.3924702373073
86,788.4594375430014,1207.0919935054246,335.3924702373073
87,786.2834160714103,1905.3814015361022,335.3924702373073
88,784.1134000697512,1387.03444600716,335.3924702373073
89,781.9493729638913,920.8022344529992,335.3924702373073
90,779.7913182254396,1867.3664040319422,335.3924702373073
91,777.6392193716208,1879.8644313449163,335.3924702373073
92,775.4930599651495,1879.8644313449163,335.3924702373073
93,773.3528236141044,1453.5414500337426,335.3924702373073
94,771.2184939718036,1206.455636644639,335.3924702373073
95,769.0900547366789,709.3395649797865,335.3924702373073
96,766.9674896521524,709.3395649797865,335.3924702373073
97,764.8507825065113,883.8753709300395,335.3924702373073
98,762.7399171327847,527.3669572523698,335.3924702373073
99,760.63487740862,1689.4612525705102,335.3924702373073
100,758.5356472561597,1689.4612525705102,335.3924702373073
101,756.4422106419183,2046.8859548854352,335.3924702373073
102,754.3545515766606,1603.8877803173534,335.3924702373073
103,752.2726541152787,1020.5529159956927,335.3924702373073
104,750.1965023566711,1719.7249272780277,335.3924702373073
105,748.1260804436204,1427.3738180976545,335.3924702373073
106,746.0613725626725,1230.008027159485,335.3924702373073
107,744.0023629440167,1520.124922406837,335.3924702373073
108,741.9490358613633,1476.0431628801734,335.3924702373073
109,739.9013756318253,1737.0364280543552,335.3924702373073
110,737.859366615798,1446.9637761987847,335.3924702373073
111,735.8229932168392,693.478510812266,335.3924702373073
112,733.7922398815504,721.9426580738755,335.3924702373073
113,731.7670910994584,721.9426580738755,335.3924702373073
114,729.7475314028958,717.8014747590205,335.3924702373073
115,727.7335453668841,717.813825247185,335.3924702373073
116,725.7251176090147,757.2675956175428,335.3924702373073
117,723.7222327893322,534.8118072188362,335.3924702373073
118,721.7248756102173,534.8118072188362,335.3924702373073
119,719.7330308162692,498.83910584501905,335.3924702373073
120,717.7466831941899,281.24586816434453,281.24586816434453
121,715.7658175726674,603.0467361273681,281.24586816434453
122,713.7904188222603,603.0467361273681,281.24586816434453
123,711.820471855282,1098.7391487009527,281.24586816434453
124,709.8559616256854,206.86027243452102,206.86027243452102
125,707.8968731289481,206.86027243452102,206.86027243452102
126,705.9431914019578,1023.507099262115,206.86027243452102
127,703.994901522898,1023.507099262115,206.86027243452102
128,702.051988611134,1023.507099262115,206.86027243452102
129,700.1144378270991,1171.7316091053333,206.86027243452102
130,698.1822343721818,1171.7316091053333,206.86027243452102
131,696.2553634886121,1171.7316091053333,206.86027243452102
132,694.3338104593493,1171.7316091053333,206.86027243452102
133,692.4175606079689,1058.2841142220118,206.86027243452102
134,690.5065992985515,1058.2841142220118,206.86027243452102
135,688.6009119355703,1058.2841142220118,206.86027243452102
136,686.7004839637796,972.9278468779504,206.86027243452102
137,684.8053008681042,972.9278468779504,206.86027243452102
138,682.9153481735281,952.4914564468884,206.86027243452102
139,681.0306114449837,825.5589623996948,206.86027243452102
